9:7:j;12:0:b;4:13:a;9:2:t;1:5:b;10:11:m
6:9:x;11:5:l;2:12:o;8:9:t;2:7:d;10:10:u
4:3:f;12:4:g;3:14:y;0:9:f;6:5:m;14:13:p
3:9:q;10:1:m;5:12:o;1:5:l;1:1:g;10:10:h
5:4:y;10:4:x;4:13:q;2:2:l;0:5:e;14:14:g
6:3:n;14:2:f;2:13:k;2:2:h;5:3:t;11:10:k
5:7:s;14:1:g;7:11:r;3:9:j;8:6:v;12:12:v
3:3:a;12:2:m;9:10:o;8:5:g;3:8:a;12:14:x
7:9:w;10:6:z;1:13:k;5:6:u;5:8:f;11:14:v
6:5:r;11:5:y;3:14:q;6:0:q;0:4:j;10:10:n
9:1:o;14:9:s;6:11:u;4:5:l;8:5:g;12:14:m
5:8:r;14:3:e;6:10:n;9:0:j;9:5:w;11:11:d
7:6:j;12:1:a;3:13:q;2:2:u;6:4:q;13:10:m
0:1:i;12:7:g;4:14:s;4:1:c;2:0:a;11:12:d
5:0:e;12:2:w;5:10:g;1:7:m;5:8:y;13:13:k
7:6:y;12:3:h;6:14:b;5:1:e;4:2:j;11:10:e
8:3:i;14:2:o;6:12:o;7:9:n;8:3:r;12:12:f
5:2:w;14:6:b;0:13:r;1:8:n;0:1:j;12:11:f
6:3:f;13:2:q;1:12:e;8:9:a;4:0:e;14:10:l
8:1:e;11:3:y;5:13:s;8:2:o;2:7:t;10:11:i
7:8:j;14:1:q;7:10:c;9:0:p;7:7:f;10:13:k
1:5:g;13:4:z;1:11:g;1:3:q;1:7:r;12:13:i
2:2:s;11:6:m;8:13:l;5:1:m;2:9:g;10:11:j
1:8:t;10:2:o;1:12:d;8:8:s;5:8:o;13:14:h
0:0:r;13:8:g;4:14:n;7:6:g;3:8:a;12:12:o
6:9:c;11:7:p;7:11:c;3:8:c;2:7:z;10:11:o
6:4:t;10:6:u;0:10:m;4:6:w;8:5:c;13:10:b
4:6:c;11:4:i;0:10:j;4:8:o;4:6:g;13:12:y
7:4:r;11:1:w;0:13:c;2:6:g;0:8:s;12:11:o
5:9:x;13:2:a;4:13:g;3:6:x;1:6:o;14:10:r
0:6:n;13:6:n;6:11:t;4:7:e;1:6:u;10:13:r
1:5:m;11:4:r;5:13:t;6:8:j;0:4:i;12:13:a
2:7:a;13:4:p;1:14:g;4:9:y;1:4:t;10:12:z
8:0:o;12:6:h;5:13:o;2:6:q;0:4:n;14:12:a
3:6:b;14:1:s;9:13:r;3:4:p;9:8:j;14:12:u
0:3:a;10:8:t;7:12:l;4:6:w;6:5:p;13:13:l
5:3:a;14:8:y;7:10:t;6:9:m;2:1:a;12:14:i
5:1:h;14:6:a;7:14:j;7:5:h;6:3:n;10:14:k
6:8:o;14:0:u;3:12:g;8:9:j;4:2:g;12:10:h
7:6:k;14:0:u;9:14:j;4:5:z;2:0:j;13:11:h
0:3:o;11:9:d;0:14:d;8:0:e;2:4:a;13:11:f
0:4:w;11:1:v;7:13:n;6:1:h;3:7:k;10:10:x
7:5:q;13:1:v;8:11:m;4:0:o;1:2:n;14:10:n
3:7:p;12:5:b;6:14:z;2:1:v;5:4:d;14:14:e
4:6:m;13:3:g;5:10:e;0:6:o;7:3:x;10:11:t
1:1:t;10:7:n;9:11:v;7:4:i;0:6:q;10:14:r
7:7:g;13:2:u;9:11:s;9:1:r;5:6:i;11:14:j
0:1:k;13:3:n;8:12:y;4:8:z;0:4:l;14:13:o
8:5:v;12:9:s;6:14:o;5:1:k;4:1:z;12:11:r
3:4:b;12:6:u;0:12:y;2:0:o;4:1:s;11:12:j
2:1:y;12:4:v;5:11:n;2:2:x;4:4:p;10:14:s
3:4:u;14:0:i;1:10:d;6:1:m;0:6:o;10:12:d
5:5:n;12:1:o;2:10:p;7:4:e;3:8:v;13:12:m
5:7:l;10:1:r;3:14:w;8:7:s;4:0:t;13:13:q
3:3:m;13:9:v;0:11:w;0:9:l;9:5:q;10:10:j
2:9:m;12:4:h;6:13:h;7:6:h;0:8:l;13:13:a
0:7:w;13:3:z;0:13:b;6:5:k;4:2:m;13:12:e
3:8:w;14:6:r;4:12:x;5:6:x;9:8:c;14:14:w
5:9:b;11:6:t;2:14:n;7:4:i;6:1:g;11:12:s
4:5:z;11:9:c;1:11:g;9:6:y;8:8:r;12:11:j
2:3:u;12:5:e;4:10:e;3:5:f;3:7:l;13:13:x
8:6:k;12:1:e;9:11:q;4:9:h;8:8:x;14:14:u
9:4:r;10:9:r;9:11:n;8:1:q;8:4:o;12:11:q
7:6:h;10:7:y;0:12:v;4:7:z;2:7:f;14:13:b
8:2:b;14:0:o;5:12:m;9:4:p;7:0:v;13:14:m
6:9:g;13:7:v;5:12:t;1:5:n;7:8:p;12:14:y
1:9:f;11:1:p;9:13:q;5:8:y;7:5:c;12:12:i
6:7:u;10:3:w;8:13:n;7:2:n;1:7:v;11:12:c
1:4:t;14:5:y;7:12:y;1:8:d;2:8:g;10:13:u
8:1:f;11:0:b;8:10:g;8:3:w;1:6:g;11:10:l
2:3:f;12:7:k;0:12:k;5:9:k;3:1:u;12:13:c
3:9:c;14:0:p;8:14:a;1:7:g;9:1:r;14:14:n
8:6:r;10:4:d;4:12:b;6:6:q;1:9:b;10:11:r
0:9:u;13:3:w;8:12:c;3:2:v;7:0:h;11:13:f
5:0:f;14:2:o;4:11:e;3:8:o;0:2:i;12:14:s
5:7:a;11:8:h;8:12:k;6:7:z;7:8:z;14:11:d
0:5:n;14:5:r;8:12:r;7:6:j;2:1:w;12:14:t
8:7:l;11:2:i;2:11:b;5:9:q;7:6:i;12:13:x
7:2:p;13:2:z;8:12:u;5:5:m;7:2:v;10:10:l
3:7:y;14:7:f;7:11:p;7:5:n;3:1:a;13:13:j
5:2:m;13:8:n;6:12:s;8:5:g;6:6:e;12:13:f
1:1:s;12:5:q;6:12:y;6:8:u;8:9:g;14:13:e
4:5:h;12:8:e;6:11:b;7:3:c;4:8:p;12:12:y
0:3:e;11:9:l;9:10:m;0:4:a;7:3:c;13:13:n
6:0:w;14:3:q;8:12:d;2:1:p;8:3:i;13:11:m
8:2:i;11:0:j;5:13:k;3:1:a;4:7:w;13:10:j
4:1:c;11:3:r;1:13:n;3:5:o;2:7:u;10:10:r
2:1:d;11:3:x;8:12:a;4:7:p;2:1:u;13:13:k
4:1:f;13:7:l;4:14:l;8:6:j;5:7:c;14:14:i
1:0:t;10:9:x;4:12:o;4:3:i;1:9:g;13:14:n
8:8:h;11:8:r;6:11:f;0:6:w;9:1:r;13:12:h
5:9:z;14:7:w;1:14:b;4:1:q;1:3:d;10:10:q
7:8:u;14:8:z;5:14:s;9:6:p;2:4:u;10:12:k
0:9:u;12:3:v;1:14:d;8:0:p;2:8:d;11:14:z
7:1:n;12:1:a;1:14:j;9:3:u;7:7:n;11:11:w
1:7:s;12:7:u;8:12:n;7:4:g;1:0:i;10:12:p
6:2:z;13:3:n;1:14:s;3:8:q;9:6:m;10:13:p
2:4:x;11:6:d;3:14:o;8:1:v;9:9:e;11:11:e
1:9:b;14:2:n;0:14:k;8:1:z;5:5:w;14:13:a
6:1:u;13:3:k;7:10:a;1:4:z;3:5:f;11:11:k
8:0:n;11:7:p;1:12:d;6:7:v;4:3:s;11:11:z
3:7:o;14:3:z;5:12:v;7:9:z;5:4:j;14:14:y
9:5:j;12:9:u;4:11:r;4:8:v;8:9:n;14:12:b
9:3:u;10:8:r;7:13:u;0:1:z;5:8:p;10:10:k
0:6:t;11:0:g;8:10:a;3:7:t;0:9:c;12:11:t
6:4:a;10:1:s;3:10:b;7:8:t;9:7:x;13:10:c
6:5:y;12:1:f;3:14:e;5:8:t;6:9:a;12:11:y
4:3:l;13:5:u;5:10:k;4:8:e;8:3:d;10:13:b
7:1:g;11:9:j;4:11:s;5:7:g;4:3:x;10:12:z
1:7:o;12:6:y;7:12:p;9:2:h;9:9:q;10:14:v
1:0:w;13:5:e;0:12:z;4:9:i;6:7:k;11:14:p
7:9:z;13:2:f;1:13:l;2:1:u;4:9:p;14:14:e
2:1:h;10:1:v;6:10:l;8:6:u;2:2:k;11:13:o
1:2:d;10:7:m;1:11:j;1:7:v;2:3:k;12:12:n
6:9:d;12:2:a;8:12:t;5:9:j;6:6:d;10:11:j
3:3:r;11:1:q;5:12:y;3:0:p;2:0:c;12:12:h
8:0:n;10:9:s;7:13:a;1:1:p;6:4:g;14:13:k
8:7:w;10:3:y;4:10:w;0:2:j;1:9:o;12:11:b
4:4:p;13:1:g;4:12:y;0:9:k;3:7:y;12:11:c
4:1:v;10:5:y;7:14:g;6:1:l;9:2:w;13:13:m
4:3:v;14:0:t;0:14:y;7:6:e;5:7:k;14:14:i
4:2:b;11:1:d;5:13:v;8:7:b;2:7:j;11:11:e
3:9:t;13:2:n;0:12:u;4:9:s;3:8:e;13:10:y
3:9:n;11:0:x;5:14:s;3:5:q;2:6:v;10:10:g
7:1:e;12:6:w;2:13:y;4:9:p;0:5:x;10:11:a
3:1:u;14:4:f;0:14:i;7:6:k;6:6:k;10:10:t
6:4:j;11:1:o;7:12:o;4:3:b;1:1:m;12:13:f
4:6:r;10:1:t;9:13:x;2:5:q;0:4:d;11:13:j
2:1:r;14:2:s;0:12:c;3:8:c;3:9:h;13:10:u
1:0:h;13:0:c;4:12:v;3:5:s;3:2:g;12:12:v
0:6:t;11:7:g;5:11:k;7:5:b;3:7:s;11:10:f
3:7:h;10:0:l;6:13:v;8:2:k;4:1:q;14:12:l
7:8:y;12:7:o;7:12:x;1:0:f;4:1:n;10:12:n
5:7:c;14:9:q;3:14:o;8:2:k;1:2:u;11:12:d
3:0:f;11:8:l;9:12:l;2:5:p;0:5:f;10:12:q
5:1:j;11:3:d;3:11:j;9:5:l;4:1:v;10:13:x
5:9:u;11:3:c;2:14:w;9:7:h;6:0:c;14:13:o
9:6:s;12:3:o;6:13:w;2:3:q;3:1:c;11:14:f
9:6:p;10:2:g;6:10:n;4:0:i;4:3:p;11:12:s
5:0:o;14:6:b;8:11:b;4:7:e;7:1:t;14:12:h
9:8:c;11:1:p;3:12:w;8:5:n;8:4:n;14:11:f
9:9:q;11:8:j;5:10:y;1:5:n;6:2:q;11:13:r
0:8:l;11:6:m;0:14:s;3:7:k;6:3:e;11:11:l
4:2:u;14:7:v;9:10:t;3:4:d;2:8:i;13:11:c
6:3:i;10:9:l;5:11:e;8:9:g;0:6:v;12:11:y
7:3:u;12:0:t;3:14:n;5:4:s;7:2:r;14:14:z
7:1:y;12:9:x;4:11:z;9:7:z;9:3:z;11:11:u
3:8:v;13:6:v;0:11:l;8:2:z;9:1:n;10:13:w
5:4:z;10:2:p;2:10:g;8:5:g;1:8:s;10:13:o
4:6:l;14:5:n;3:10:n;9:3:z;7:3:c;13:14:b
5:3:h;11:6:z;3:12:a;0:3:f;7:4:m;14:13:o
7:5:e;11:1:n;1:11:q;7:9:v;9:7:z;10:14:i
7:7:j;10:5:m;0:11:f;5:6:m;9:2:m;10:13:n
6:7:f;14:1:r;6:14:l;2:5:t;2:7:s;10:13:k
7:2:s;13:5:q;4:11:x;9:2:s;5:2:k;12:12:y
5:2:e;14:9:b;3:11:o;9:1:h;4:2:g;13:13:w
0:7:f;14:3:p;4:13:u;3:6:q;5:0:i;12:10:r
7:2:v;13:3:r;0:13:v;1:8:o;2:4:w;13:12:y
4:7:d;11:9:e;8:12:q;9:3:y;7:4:y;12:12:m
9:1:n;13:2:h;6:14:y;0:2:k;1:6:k;10:13:c
1:5:i;10:5:g;7:12:z;7:1:n;2:8:t;12:12:p
3:4:c;14:2:l;2:13:x;3:4:l;5:6:l;13:12:v
0:9:l;12:0:d;3:10:m;7:1:g;3:8:r;13:13:n
0:5:r;13:6:z;4:12:n;6:2:n;1:2:d;14:13:e
6:2:l;11:8:i;5:10:o;1:0:n;4:1:e;13:14:f
4:1:x;10:1:a;7:13:z;5:1:z;1:9:f;14:10:b
4:7:j;12:0:l;0:11:r;9:1:w;4:3:m;10:12:a
8:3:j;10:4:x;7:12:o;8:5:z;6:4:i;11:14:s
8:0:a;11:8:j;6:10:q;8:3:k;0:1:l;11:11:k
5:9:b;12:7:a;2:12:h;0:3:m;7:7:j;11:10:r
7:2:n;10:4:z;6:13:g;8:6:f;7:9:b;11:10:z
8:8:p;14:7:w;0:12:j;6:6:n;6:5:e;14:10:y
2:1:c;12:3:a;2:11:k;1:1:s;8:6:p;14:10:z
1:2:o;11:2:k;3:13:x;6:7:d;3:5:l;12:10:v
3:0:x;13:4:f;5:11:g;5:9:k;5:0:u;11:10:s
1:5:l;10:1:t;5:10:p;7:9:i;2:0:x;10:10:z
5:0:m;13:2:x;1:10:r;5:8:c;6:1:p;12:12:k
9:5:s;11:7:y;4:11:s;2:6:n;8:0:v;14:10:w
5:2:b;10:0:z;0:11:e;0:3:y;9:3:b;11:14:f
5:5:u;10:9:q;3:14:f;7:7:w;9:6:k;14:11:d
6:9:y;14:8:a;4:13:g;5:3:j;0:3:a;12:10:j
5:8:g;13:2:e;5:11:e;2:7:y;8:1:m;14:13:w
9:1:n;14:6:c;2:11:j;3:9:r;0:0:l;12:11:p
1:7:q;14:7:n;1:13:d;9:7:e;7:4:z;11:12:p
2:2:s;11:5:j;1:12:b;0:7:p;6:4:b;14:12:n
8:3:o;11:8:c;5:11:w;2:9:f;3:2:n;12:10:o
9:0:m;14:3:r;5:10:e;9:8:s;6:2:v;11:10:z
4:7:m;10:8:g;8:10:l;3:7:f;6:3:g;11:14:c
2:6:m;14:1:h;1:12:f;7:6:g;6:6:t;13:11:q
2:5:o;12:5:r;9:10:s;8:1:j;9:0:j;10:10:o
7:2:n;13:1:a;8:13:b;2:5:t;7:7:m;14:14:m
6:9:e;14:9:l;2:11:x;5:9:u;3:7:t;12:11:l
4:7:i;13:4:i;6:12:p;5:9:q;6:3:q;13:12:z
9:5:v;10:8:p;7:14:r;5:6:i;1:2:z;13:13:a
3:1:u;11:2:b;3:14:h;4:6:a;2:7:d;13:12:a
0:9:v;14:7:l;6:10:i;4:7:d;6:7:c;11:12:o
4:3:o;14:4:t;6:12:b;3:7:y;7:8:a;10:12:t
8:2:z;12:3:i;0:13:y;0:0:f;5:8:l;11:12:k
6:4:w;11:5:n;2:13:b;5:3:r;8:7:g;10:13:l
9:3:k;11:0:l;1:12:l;9:1:m;7:4:d;12:12:o
8:8:a;12:5:q;3:10:x;4:4:j;4:3:t;14:10:j
6:0:v;13:2:l;1:10:k;4:2:g;4:3:u;10:12:e
8:5:z;11:9:p;1:12:q;3:4:o;0:1:t;14:12:n
3:1:t;11:1:e;5:10:q;5:8:x;2:9:l;12:11:e
2:8:o;12:7:v;4:10:k;1:0:d;3:3:i;12:11:q
6:7:t;10:6:i;3:13:c;2:4:v;3:8:h;13:12:c
3:8:i;11:4:e;8:10:d;5:2:o;5:2:n;11:11:h
1:2:j;12:6:u;8:11:m;4:4:f;8:7:n;12:12:b
8:8:e;12:8:l;0:10:n;1:4:u;2:9:f;14:14:v
9:4:f;11:3:y;7:13:s;2:5:o;9:3:h;10:12:z
1:0:n;14:5:r;0:11:r;2:3:h;4:3:n;12:11:v
1:6:z;13:3:u;1:14:g;6:3:l;9:0:j;10:13:i
5:5:t;14:4:b;9:11:f;5:8:i;5:0:c;11:14:w
0:6:f;13:0:h;6:14:u;7:4:o;1:1:v;11:14:m
2:0:u;12:6:j;8:11:v;4:7:d;1:8:x;11:13:l
4:6:z;10:6:h;3:13:e;3:4:e;6:3:b;14:12:e
7:4:o;14:7:m;5:14:y;4:6:f;7:9:a;10:12:i
2:6:b;14:9:e;9:12:c;6:0:h;7:1:s;10:13:n
3:5:n;12:5:e;9:13:t;5:5:z;5:6:i;10:14:n
4:0:r;13:6:x;5:13:s;4:0:c;8:8:m;13:10:f
6:3:u;12:8:s;4:10:x;9:4:o;7:5:o;12:13:t
6:1:w;13:7:h;5:11:d;5:4:u;9:2:q;10:14:a
0:1:r;12:2:f;7:11:y;7:4:y;8:7:v;14:12:s
3:2:i;13:7:r;5:13:m;7:9:r;3:9:n;14:10:s
2:8:t;11:6:c;0:11:q;8:6:f;7:8:l;14:13:n
2:8:v;13:1:i;9:11:q;2:8:y;5:3:m;12:10:q
0:6:n;12:5:i;2:14:m;7:1:x;9:9:n;13:12:j
9:9:y;11:6:z;8:14:b;0:7:h;4:9:b;13:11:l
1:4:e;13:6:h;6:14:m;9:9:o;6:9:v;11:10:c
5:0:d;14:0:x;5:12:b;9:8:d;3:7:c;11:11:h
6:6:g;11:1:z;5:12:x;9:3:m;5:1:t;10:12:u
2:6:d;14:7:w;9:10:r;4:4:o;2:6:b;14:10:k
6:0:t;13:1:t;7:11:j;6:6:n;4:9:l;10:14:s
6:4:p;13:7:u;8:10:j;3:2:r;0:3:w;13:11:n
0:4:o;12:2:h;4:12:f;5:5:d;3:6:f;13:10:h
7:0:y;13:6:q;4:13:h;7:5:a;6:6:b;10:14:d
8:8:b;12:6:h;3:12:u;4:1:f;7:8:b;11:10:s
1:4:f;14:6:r;4:12:a;3:3:d;5:7:k;14:11:o
5:7:l;14:7:i;7:13:x;6:2:r;8:1:e;14:12:v
2:5:c;14:9:v;3:13:l;3:6:v;5:4:z;13:10:e
4:2:k;11:0:b;7:11:m;0:0:a;6:6:z;13:11:v
5:0:n;12:4:e;9:14:v;1:1:y;7:2:j;14:12:g
6:8:g;12:6:j;3:11:g;3:9:r;1:8:u;12:10:b
8:8:o;10:2:h;6:10:q;3:7:o;7:3:f;10:14:b
0:9:f;13:3:c;9:12:z;9:1:i;4:6:p;13:13:o
6:8:e;11:2:t;1:12:r;7:3:b;8:4:d;13:14:r
9:5:s;14:1:q;6:14:h;7:8:w;5:4:f;14:10:e
6:0:e;13:1:f;2:12:j;9:6:w;2:4:c;12:13:z
8:3:s;10:2:s;2:12:i;2:1:w;9:1:f;13:10:q
2:4:d;11:0:f;9:14:a;6:6:g;7:7:k;10:14:j
3:5:l;10:9:b;8:10:c;1:6:c;4:5:q;11:12:f
6:9:p;13:0:u;5:14:o;2:6:q;6:3:w;14:13:l
4:3:m;14:9:r;3:12:c;3:9:v;3:3:z;12:11:d
3:0:l;13:7:r;9:10:r;4:4:w;5:6:c;12:14:q
8:4:i;11:9:f;2:13:g;4:7:w;4:6:b;14:10:p
2:7:t;11:2:q;5:12:u;6:9:j;5:1:c;13:12:c
3:2:v;10:8:i;7:11:r;2:2:k;1:4:v;14:11:y
1:8:c;11:4:o;9:14:x;6:3:n;5:9:s;14:11:a
5:6:v;14:3:r;4:12:p;6:9:s;5:3:n;14:14:f
6:9:h;12:3:x;2:10:p;6:6:d;1:8:z;11:14:k
4:3:i;10:0:n;4:10:z;6:5:p;8:7:b;14:10:h
0:6:k;11:7:z;9:11:c;8:2:a;7:1:j;13:14:l
8:3:u;10:2:k;0:14:l;5:5:b;7:8:i;12:12:t
6:9:z;10:0:i;3:13:s;5:7:i;8:1:k;10:14:y
9:9:j;12:2:w;2:11:u;8:2:n;8:9:a;10:10:f
7:1:a;13:6:q;6:11:x;5:8:n;5:7:f;10:14:c
0:9:j;14:9:t;1:11:i;6:9:h;0:6:r;12:14:a
6:9:j;13:9:r;8:11:s;2:1:y;7:2:k;12:10:k
3:3:k;12:5:n;3:11:i;0:9:h;8:1:a;14:14:b
8:7:f;10:2:g;7:10:q;2:3:s;3:1:z;12:11:w
7:1:x;12:9:g;9:12:f;4:5:m;8:1:t;10:12:a
2:6:v;13:8:n;2:11:m;3:6:c;4:2:r;13:11:t
0:5:n;14:8:g;3:12:h;4:9:h;0:2:w;11:10:s
5:4:m;13:8:l;9:13:n;9:2:g;6:6:d;14:14:q
7:8:n;13:9:m;3:13:o;1:0:h;9:5:g;12:13:z
6:8:u;10:9:l;7:12:n;6:8:j;4:0:i;11:13:l
4:7:z;12:7:h;7:14:o;4:1:d;3:0:x;12:14:k
3:2:s;13:2:l;3:12:j;8:2:x;0:3:j;11:11:a
6:9:s;12:6:e;4:10:f;2:9:k;4:7:n;13:10:r
7:8:d;13:0:c;4:10:m;8:3:z;6:2:t;14:12:n
3:2:a;13:7:i;8:13:v;5:4:a;4:1:r;13:14:d
2:7:n;14:6:p;8:11:n;2:0:k;0:9:u;12:13:s
5:7:k;13:2:r;9:13:p;7:1:i;3:0:l;12:10:y
0:8:t;14:2:i;9:14:y;0:7:m;1:0:p;13:11:n
8:2:s;12:4:c;4:12:z;5:1:x;9:5:x;12:10:m
8:0:o;14:7:k;3:11:z;5:8:z;2:6:e;11:14:b
9:4:w;13:4:i;8:11:b;2:9:i;6:8:p;13:11:n
7:4:i;10:4:z;2:13:u;9:6:u;6:8:m;13:14:j
1:4:i;12:8:e;4:12:n;5:9:o;2:5:k;14:10:z
8:0:q;12:1:c;0:12:r;8:8:o;7:3:q;13:14:r
2:0:l;13:7:w;2:12:v;9:5:u;8:2:y;13:12:k
1:5:a;10:4:z;8:10:s;6:3:o;6:9:x;10:12:z
9:9:c;10:2:z;8:11:f;9:1:s;0:6:g;10:11:x
7:7:w;10:1:g;3:14:y;6:8:e;1:9:s;10:13:z
0:7:l;14:3:v;1:12:a;0:4:y;5:2:w;12:13:f
7:8:i;11:1:n;4:14:t;5:3:l;9:5:v;11:14:x
8:7:p;14:6:n;6:13:g;4:1:g;6:1:x;11:12:u
8:0:e;10:2:w;1:11:i;4:5:q;3:1:q;14:13:i
1:4:s;14:7:u;3:12:k;4:8:b;2:1:t;12:13:d
9:4:e;14:0:c;5:11:j;0:9:r;3:0:g;14:14:j
1:4:r;10:3:h;0:12:n;1:8:l;5:8:d;14:12:d
5:9:w;12:7:n;5:13:p;0:1:y;6:5:n;11:12:k
0:9:m;10:9:g;3:13:n;4:5:i;4:0:e;14:10:v
3:0:i;12:5:p;6:10:r;4:8:d;0:0:d;13:12:y
5:3:r;14:4:w;2:11:w;6:5:j;8:1:g;10:12:d
1:5:g;14:4:j;0:13:h;1:9:k;1:4:z;13:10:w
5:9:s;14:8:m;7:13:w;5:7:p;6:1:k;11:10:c
4:6:f;13:9:u;1:13:l;6:1:o;5:5:q;11:13:s
4:3:p;13:9:c;9:12:q;0:8:a;7:1:b;13:13:h
0:7:a;13:2:x;8:13:h;2:8:c;0:5:q;12:12:f
9:1:w;14:7:w;1:10:v;0:2:i;5:3:q;14:14:q
5:2:c;10:9:c;6:12:i;9:7:s;1:8:n;12:14:p
3:5:c;13:8:p;4:10:k;9:7:j;1:7:g;12:11:g
9:8:d;13:3:f;2:14:c;4:5:g;0:9:m;11:12:o
0:2:e;13:6:x;4:12:u;2:4:o;7:8:r;12:10:k
7:3:w;14:3:u;1:13:u;9:3:t;9:6:z;13:12:s
7:0:i;10:4:w;0:12:h;0:4:d;7:8:d;11:13:e
3:4:b;11:9:p;0:14:u;1:5:s;7:2:u;13:13:r
0:1:x;10:3:x;7:14:a;5:9:w;0:8:j;11:11:k
5:4:u;10:1:i;0:12:d;1:7:j;5:7:t;14:12:i
6:4:n;10:0:k;5:12:q;1:5:j;5:5:n;10:13:w
0:7:a;11:3:l;6:10:d;4:2:y;3:3:w;14:14:m
7:8:q;10:3:e;6:11:g;1:0:b;7:8:q;12:10:e
1:8:k;10:7:p;8:14:k;3:0:t;0:5:i;12:10:x
9:3:g;14:1:h;7:14:p;4:3:j;0:5:e;13:13:t
1:5:h;14:5:r;9:14:g;7:8:a;1:2:l;14:12:c
3:0:s;10:2:l;1:13:m;8:5:x;7:5:e;11:12:a
5:0:y;12:8:n;4:10:u;0:8:a;1:2:p;10:12:u
1:2:f;13:5:w;8:14:r;8:5:r;9:7:q;12:14:j
0:2:l;11:8:n;7:12:i;2:2:l;4:8:k;10:14:n
3:5:h;13:5:c;0:14:s;8:7:w;2:3:u;13:13:g
0:1:o;14:8:z;4:14:t;9:3:f;8:6:p;11:10:y
2:6:a;14:4:h;4:10:s;8:9:f;0:9:j;10:11:d
1:0:y;12:5:f;4:12:m;7:5:w;0:2:r;14:11:y
1:1:k;11:4:m;2:11:q;2:7:n;5:7:w;12:13:u
6:1:j;11:0:z;1:14:i;2:0:m;7:3:i;10:11:v
6:2:c;12:1:z;3:12:p;4:0:d;7:0:d;13:11:c
4:7:n;10:1:t;8:10:p;7:9:l;6:1:e;11:11:k
1:9:c;13:6:a;0:11:y;1:7:b;9:9:f;14:14:b
0:3:c;11:5:g;2:10:l;7:2:m;0:9:c;11:14:q
3:7:l;11:1:p;7:10:x;9:0:v;9:0:s;11:10:x
4:3:r;14:2:r;9:11:l;1:6:y;3:8:q;11:11:a
7:9:x;13:0:n;7:13:d;1:3:f;2:8:w;13:11:i
7:8:w;11:7:a;1:10:z;3:0:l;9:1:q;13:14:w
4:6:t;10:5:p;9:14:g;3:2:g;0:8:m;12:10:w
1:0:i;10:7:h;6:14:z;5:2:a;9:2:p;11:12:l
0:7:c;13:4:u;0:14:y;3:0:y;7:6:y;12:11:z
3:2:k;10:1:b;7:10:h;0:3:n;9:9:l;12:12:k
2:5:o;10:2:h;9:12:b;0:8:q;6:2:l;13:13:t
7:8:i;10:9:i;7:13:l;6:2:r;0:5:r;10:12:n
9:0:t;11:0:b;9:11:e;4:5:h;5:0:i;14:11:p
6:2:r;11:2:n;3:13:s;0:2:w;6:3:i;10:13:h
4:1:q;12:4:m;2:13:n;0:3:y;2:4:r;12:14:e
3:5:f;14:0:t;4:10:a;2:5:r;1:6:x;10:14:y
2:8:o;13:6:p;4:10:a;9:0:h;1:1:b;12:11:q
9:5:x;10:3:a;4:14:b;8:8:t;7:7:a;10:10:c
2:8:r;10:8:h;3:13:w;5:5:k;4:3:u;13:14:e
8:3:s;11:6:m;3:13:s;2:4:a;0:7:e;10:14:p
9:0:a;10:8:q;2:12:e;4:1:s;3:9:e;12:12:e
1:0:q;12:2:q;4:13:z;9:3:b;5:4:b;12:10:a
2:6:p;10:6:y;8:10:p;1:4:b;6:7:b;10:12:k
5:8:a;12:4:v;3:10:l;4:0:o;3:7:m;14:12:a
5:2:v;13:7:m;2:10:y;3:1:o;3:5:r;12:10:m
0:8:j;13:3:z;3:13:j;3:0:p;9:9:v;14:13:d
6:4:e;14:9:c;0:13:i;7:3:p;4:1:g;12:11:s
2:9:f;12:6:d;8:10:q;9:7:b;5:8:b;10:14:l
6:7:q;13:1:e;7:12:s;6:0:t;8:4:y;14:10:c
4:9:z;12:0:l;8:13:e;8:6:p;4:6:b;12:11:l
7:9:h;14:7:l;0:14:c;3:2:c;9:3:d;11:12:m
2:9:g;10:2:a;7:10:c;1:0:l;7:8:l;10:14:h
5:6:i;11:2:m;6:14:v;0:9:d;9:2:q;14:14:n
3:2:q;13:8:h;1:12:y;7:2:w;0:6:r;12:14:z
2:1:y;12:6:a;8:10:b;4:7:f;1:7:b;10:11:a
8:5:e;14:2:g;0:14:w;1:2:m;4:8:u;13:13:j
7:5:k;13:7:h;2:12:d;4:5:e;9:5:w;12:11:v
4:2:p;13:8:k;8:13:x;0:4:r;5:9:p;11:12:q
2:7:n;10:9:i;7:13:z;9:8:p;9:6:e;13:13:s
8:0:t;10:3:g;5:10:m;1:0:l;8:4:p;14:11:t
7:9:k;10:7:m;2:13:b;6:0:n;0:5:m;12:11:k
3:2:v;13:7:w;9:14:s;7:2:p;6:3:t;10:10:c
2:0:k;10:6:w;3:11:z;2:9:c;2:8:k;12:14:j
3:6:b;11:8:j;3:10:h;4:9:p;1:2:p;13:10:i
9:2:b;13:2:h;7:10:h;5:1:q;3:4:h;12:11:n
5:1:s;11:2:o;5:13:g;4:8:q;6:6:r;11:14:n
7:3:o;14:0:y;6:11:w;2:7:p;5:1:j;14:10:l
4:5:z;12:2:q;0:10:c;4:4:t;7:5:x;10:10:n
1:3:w;11:6:z;2:12:b;5:3:w;6:6:m;12:11:y
6:1:v;13:1:k;4:13:d;8:4:x;4:4:g;13:11:x
